Date,Open,High,Low,Close,Adj Close,Volume
2013-10-24,6674.500000,6719.299805,6674.200195,6713.200195,6713.200195,601321000
2013-10-25,6713.200195,6729.700195,6700.399902,6721.299805,6721.299805,569150500
2013-10-28,6721.299805,6739.700195,6704.200195,6725.799805,6725.799805,590265200
2013-10-29,6725.799805,6777.200195,6718.899902,6774.700195,6774.700195,781277300
2013-10-30,6774.700195,6819.899902,6763.700195,6777.700195,6777.700195,656351600
2013-10-31,6777.700195,6778.299805,6719.500000,6731.399902,6731.399902,742779000
2013-11-01,6731.399902,6760.899902,6715.299805,6734.700195,6734.700195,675463600
2013-11-04,6734.700195,6780.100098,6734.600098,6763.600098,6763.600098,510147600
2013-11-05,6763.600098,6773.899902,6708.500000,6746.799805,6746.799805,723671000
2013-11-06,6746.799805,6768.200195,6735.600098,6741.700195,6741.700195,636589100
2013-11-07,6741.700195,6779.200195,6680.000000,6697.200195,6697.200195,641427800
2013-11-08,6697.200195,6713.899902,6643.899902,6708.399902,6708.399902,598943100
2013-11-11,6708.399902,6744.799805,6702.000000,6728.399902,6728.399902,633862400
2013-11-12,6728.399902,6728.399902,6693.299805,6726.799805,6726.799805,589417300
2013-11-13,6726.799805,6726.799805,6614.000000,6630.000000,6630.000000,723057300
2013-11-14,6630.000000,6696.200195,6630.000000,6666.100098,6666.100098,624125200
2013-11-15,6666.100098,6703.100098,6665.500000,6693.399902,6693.399902,587733600
2013-11-18,6693.399902,6732.100098,6671.600098,6723.500000,6723.500000,538915700
2013-11-19,6723.500000,6723.500000,6677.899902,6698.000000,6698.000000,532008000
2013-11-20,6698.000000,6711.399902,6661.700195,6681.100098,6681.100098,558048100
2013-11-21,6681.100098,6697.700195,6643.500000,6681.299805,6681.299805,483785600
2013-11-22,6681.299805,6711.000000,6661.000000,6674.299805,6674.299805,495703600
2013-11-25,6674.299805,6709.100098,6674.299805,6694.600098,6694.600098,465826500
2013-11-26,6694.600098,6697.000000,6636.200195,6636.200195,6636.200195,985378000
2013-11-27,6636.200195,6664.100098,6635.700195,6649.500000,6649.500000,580621900
2013-11-28,6649.500000,6679.500000,6642.600098,6654.500000,6654.500000,462672900
2013-11-29,6654.500000,6681.600098,6648.500000,6650.600098,6650.600098,535923900
2013-12-02,6650.600098,6657.399902,6595.200195,6595.299805,6595.299805,559055100
2013-12-03,6595.299805,6595.500000,6531.299805,6532.399902,6532.399902,685375800
2013-12-04,6532.399902,6544.700195,6479.700195,6510.000000,6510.000000,780322600
2013-12-05,6510.000000,6518.899902,6487.200195,6498.299805,6498.299805,558155700
2013-12-06,6498.299805,6555.700195,6496.299805,6552.000000,6552.000000,564649300
2013-12-09,6552.000000,6568.399902,6534.700195,6559.500000,6559.500000,506215400
2013-12-10,6559.500000,6571.899902,6519.000000,6523.299805,6523.299805,553693100
2013-12-11,6523.299805,6555.600098,6507.700195,6507.700195,6507.700195,524482100
2013-12-12,6507.700195,6507.700195,6436.000000,6445.299805,6445.299805,663531400
2013-12-13,6445.299805,6462.799805,6433.500000,6440.000000,6440.000000,694450900
2013-12-16,6440.000000,6531.200195,6422.200195,6522.200195,6522.200195,653797800
2013-12-17,6522.200195,6522.200195,6482.600098,6486.200195,6486.200195,584054600
2013-12-18,6486.200195,6524.500000,6486.200195,6492.100098,6492.100098,529477900
2013-12-19,6492.100098,6584.700195,6492.100098,6584.700195,6584.700195,648648400
2013-12-20,6584.700195,6616.799805,6576.799805,6606.600098,6606.600098,1096668200
2013-12-23,6606.600098,6678.600098,6606.200195,6678.600098,6678.600098,351999300
2013-12-24,null,null,null,null,null,null
2013-12-27,6694.200195,6754.100098,6694.200195,6750.899902,6750.899902,291262200
2013-12-30,6750.899902,6768.399902,6718.200195,6731.299805,6731.299805,295360600
2013-12-31,null,null,null,null,null,null
2014-01-02,6749.100098,6759.399902,6707.500000,6717.899902,6717.899902,459529100
2014-01-03,6717.899902,6747.299805,6699.299805,6730.700195,6730.700195,374841500
2014-01-06,6730.700195,6752.000000,6714.600098,6730.700195,6730.700195,524387000
2014-01-07,6730.700195,6768.899902,6718.100098,6755.500000,6755.500000,672375600
2014-01-08,6755.500000,6755.500000,6713.399902,6721.799805,6721.799805,720025300
2014-01-09,6721.799805,6746.399902,6679.299805,6691.299805,6691.299805,782896500
2014-01-10,6691.299805,6769.899902,6691.299805,6739.899902,6739.899902,811611800
2014-01-13,6739.899902,6765.600098,6731.000000,6757.200195,6757.200195,598026900
2014-01-14,6757.200195,6772.600098,6694.100098,6766.899902,6766.899902,568346600
2014-01-15,6766.899902,6825.200195,6766.899902,6819.899902,6819.899902,693715800
2014-01-16,6819.899902,6831.700195,6811.200195,6815.399902,6815.399902,714152700
2014-01-17,6815.399902,6840.500000,6800.000000,6829.299805,6829.299805,999744600
2014-01-20,6829.299805,6837.500000,6810.600098,6836.700195,6836.700195,424810700
